               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.025379,            0.017736,                   0,             0.51067,             0.47739,             0.44476,             0.19969,            0.051275,            0.029661,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.025478,            0.017525,                   0,             0.50649,             0.57286,             0.49147,             0.21365,            0.048552,            0.026744,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.024655,            0.016937,                   0,             0.53908,             0.58794,             0.48118,             0.21242,            0.050944,             0.02597,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.025489,            0.017365,                   0,             0.53923,             0.51759,             0.47846,             0.21006,            0.050137,             0.02656,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.025685,            0.017367,                   0,             0.56363,             0.46734,             0.45761,              0.2042,            0.050451,            0.026645,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.024333,            0.016855,                   0,             0.62208,             0.42186,             0.48718,             0.21941,            0.049702,            0.026471,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.024297,             0.01643,                   0,             0.55091,             0.52764,             0.48911,             0.22104,            0.051567,            0.026627,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.024862,            0.016791,                   0,             0.45582,             0.51256,             0.45196,             0.20403,            0.051473,            0.026113,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.025276,            0.016786,                   0,             0.50963,             0.51759,             0.47716,              0.2343,            0.049638,             0.02499,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.024918,             0.01743,                   0,               0.573,             0.51249,             0.50285,             0.22555,            0.049664,            0.026805,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.023635,            0.017737,                   0,             0.54964,             0.58262,             0.51618,             0.22188,            0.049929,            0.025118,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,            0.024153,            0.016757,                   0,             0.61442,             0.51256,             0.50089,             0.22246,             0.05217,            0.026775,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,            0.025407,            0.016839,                   0,              0.5106,             0.47739,             0.41865,             0.18788,             0.05166,            0.027606,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.023924,            0.016052,                   0,             0.50137,             0.56281,             0.48393,             0.20887,            0.050931,            0.026394,                   0,           0.0091585,           0.0091585,           0.0091585
                  87,            0.024337,            0.017014,                   0,             0.60942,             0.52764,             0.50666,             0.21619,            0.049601,            0.026162,                   0,           0.0091486,           0.0091486,           0.0091486
                  88,            0.024447,             0.01657,                   0,             0.48909,             0.57286,              0.4736,             0.20159,            0.050937,            0.026368,                   0,           0.0091387,           0.0091387,           0.0091387
                  89,             0.02374,            0.016386,                   0,             0.53526,             0.49246,             0.45484,             0.19903,            0.049228,            0.027201,                   0,           0.0091288,           0.0091288,           0.0091288
                  90,            0.024223,             0.01695,                   0,             0.52277,             0.51759,             0.45645,             0.21532,             0.04934,            0.027311,                   0,           0.0091189,           0.0091189,           0.0091189
                  91,            0.023319,            0.016721,                   0,             0.62653,             0.49738,             0.52188,             0.23454,            0.050136,            0.027277,                   0,            0.009109,            0.009109,            0.009109
                  92,            0.024394,            0.017178,                   0,             0.46503,             0.53769,             0.44623,             0.19679,            0.049887,            0.027011,                   0,           0.0090991,           0.0090991,           0.0090991
                  93,            0.023647,            0.016613,                   0,               0.545,             0.54271,             0.50521,             0.22375,            0.048216,             0.02722,                   0,           0.0090892,           0.0090892,           0.0090892
                  94,            0.024178,            0.016442,                   0,             0.55667,             0.46734,             0.48479,             0.21876,            0.050285,            0.026265,                   0,           0.0090793,           0.0090793,           0.0090793
                  95,            0.023857,            0.016723,                   0,             0.59046,             0.48744,             0.50032,              0.2302,             0.04908,            0.027726,                   0,           0.0090694,           0.0090694,           0.0090694
                  96,            0.023418,            0.016093,                   0,             0.58592,             0.46231,              0.4509,             0.20473,            0.048642,            0.028755,                   0,           0.0090595,           0.0090595,           0.0090595
                  97,            0.023373,             0.01641,                   0,             0.54489,             0.54774,             0.48059,             0.21367,            0.049496,            0.027236,                   0,           0.0090496,           0.0090496,           0.0090496
                  98,            0.022592,            0.015795,                   0,             0.50607,             0.58794,             0.47281,              0.2277,            0.049737,             0.02695,                   0,           0.0090397,           0.0090397,           0.0090397
                  99,            0.024163,            0.017939,                   0,             0.58982,             0.52764,             0.50791,             0.21829,            0.051365,            0.027603,                   0,           0.0090298,           0.0090298,           0.0090298
                 100,            0.023819,            0.017555,                   0,             0.55203,             0.52261,             0.47502,             0.22277,            0.050408,             0.02731,                   0,           0.0090199,           0.0090199,           0.0090199
                 101,            0.023211,            0.016112,                   0,              0.5187,             0.53616,             0.46951,             0.22083,            0.050287,            0.027907,                   0,             0.00901,             0.00901,             0.00901
                 102,            0.023079,            0.016112,                   0,             0.50165,             0.52261,             0.47339,             0.20464,            0.051611,            0.028219,                   0,           0.0090001,           0.0090001,           0.0090001
                 103,            0.023682,            0.017043,                   0,             0.54122,              0.5276,             0.47838,             0.18251,            0.052205,            0.027048,                   0,           0.0089902,           0.0089902,           0.0089902
                 104,            0.023041,            0.016155,                   0,             0.52833,             0.46734,             0.44958,             0.21172,            0.050184,            0.028884,                   0,           0.0089803,           0.0089803,           0.0089803
                 105,            0.022603,            0.015843,                   0,             0.54011,             0.46734,             0.44956,             0.20224,            0.051383,              0.0269,                   0,           0.0089704,           0.0089704,           0.0089704
                 106,            0.023059,            0.016108,                   0,             0.45199,             0.49735,             0.41366,             0.18146,            0.051729,            0.027017,                   0,           0.0089605,           0.0089605,           0.0089605
                 107,              0.0228,            0.015946,                   0,             0.55291,             0.52261,             0.48332,             0.21622,            0.048026,            0.026911,                   0,           0.0089506,           0.0089506,           0.0089506
                 108,            0.022646,            0.015714,                   0,             0.49993,             0.51759,             0.44748,             0.19539,            0.051207,            0.027034,                   0,           0.0089407,           0.0089407,           0.0089407
                 109,            0.022549,            0.015909,                   0,             0.57126,             0.56281,             0.50147,             0.21206,            0.050545,            0.025286,                   0,           0.0089308,           0.0089308,           0.0089308
                 110,            0.023459,            0.016351,                   0,             0.62859,             0.50251,             0.52464,             0.22477,            0.049335,            0.024831,                   0,           0.0089209,           0.0089209,           0.0089209
                 111,             0.02245,            0.015768,                   0,             0.44395,             0.58291,             0.46063,             0.21315,            0.049235,            0.025961,                   0,            0.008911,            0.008911,            0.008911
                 112,            0.023227,            0.015643,                   0,             0.56099,             0.52655,             0.45054,             0.19026,             0.04969,            0.027007,                   0,           0.0089011,           0.0089011,           0.0089011
                 113,            0.022048,            0.015382,                   0,             0.56438,             0.52736,             0.50685,             0.23811,            0.049594,             0.02887,                   0,           0.0088912,           0.0088912,           0.0088912
                 114,            0.022802,            0.015568,                   0,             0.51488,             0.50251,             0.47369,             0.20955,              0.0511,            0.028328,                   0,           0.0088813,           0.0088813,           0.0088813
                 115,             0.02221,            0.015612,                   0,             0.58364,             0.50754,             0.48991,             0.21915,            0.050077,            0.028353,                   0,           0.0088714,           0.0088714,           0.0088714
                 116,            0.022874,            0.016639,                   0,             0.47384,             0.50685,              0.4415,             0.19953,            0.050285,            0.028184,                   0,           0.0088615,           0.0088615,           0.0088615
                 117,            0.021422,             0.01551,                   0,             0.59439,             0.53266,             0.48905,             0.21257,            0.050017,            0.027587,                   0,           0.0088516,           0.0088516,           0.0088516
                 118,            0.021666,            0.015846,                   0,             0.54131,             0.49246,             0.44387,             0.19692,            0.050848,            0.028812,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.022492,            0.016536,                   0,               0.578,             0.50251,             0.49331,             0.23202,            0.050705,            0.029386,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.021809,             0.01622,                   0,             0.45377,             0.54268,             0.47346,             0.20743,             0.05119,            0.028034,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.022868,            0.015892,                   0,             0.51577,             0.51256,              0.4539,             0.21826,            0.050064,             0.02895,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.022476,            0.015398,                   0,             0.53309,             0.56281,             0.47784,             0.21922,            0.049454,            0.027755,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.021623,             0.01518,                   0,             0.57818,             0.51759,             0.50784,             0.22353,            0.049199,            0.028527,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,            0.022516,            0.015242,                   0,             0.57209,             0.49749,             0.47737,             0.21857,            0.050505,            0.031124,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,             0.02191,            0.015448,                   0,             0.49018,             0.51214,             0.46847,             0.20969,            0.050389,            0.028371,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,            0.022198,            0.015828,                   0,             0.63283,             0.41709,             0.44766,              0.1924,            0.050024,             0.02896,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.021927,            0.015684,                   0,             0.60506,             0.47732,              0.4964,             0.22923,            0.049859,            0.029207,                   0,           0.0087526,           0.0087526,           0.0087526
                 128,            0.021746,            0.015547,                   0,             0.50354,             0.47236,             0.44414,              0.2003,            0.049796,            0.028417,                   0,           0.0087427,           0.0087427,           0.0087427
                 129,            0.022393,            0.016105,                   0,             0.45628,             0.47236,             0.42987,             0.20356,            0.050572,            0.029057,                   0,           0.0087328,           0.0087328,           0.0087328
                 130,            0.022156,            0.015476,                   0,             0.56885,             0.51715,             0.48947,             0.21912,            0.050345,            0.028106,                   0,           0.0087229,           0.0087229,           0.0087229
                 131,            0.022442,            0.015479,                   0,             0.49061,             0.52755,             0.45287,             0.21387,            0.048938,            0.028321,                   0,            0.008713,            0.008713,            0.008713
                 132,            0.021977,            0.015167,                   0,             0.49446,             0.46734,             0.43287,             0.19523,            0.051588,            0.029862,                   0,           0.0087031,           0.0087031,           0.0087031
                 133,            0.021715,            0.015935,                   0,               0.462,             0.49246,             0.43793,             0.20191,            0.050816,            0.029374,                   0,           0.0086932,           0.0086932,           0.0086932
                 134,            0.021093,            0.015118,                   0,             0.55238,              0.5023,             0.45962,             0.21506,             0.05153,            0.029742,                   0,           0.0086833,           0.0086833,           0.0086833
                 135,            0.021278,            0.015527,                   0,             0.59074,             0.47236,             0.47776,              0.2225,            0.051019,            0.028801,                   0,           0.0086734,           0.0086734,           0.0086734
                 136,            0.021318,            0.015036,                   0,             0.55492,             0.46734,             0.47279,             0.20664,            0.052457,            0.029679,                   0,           0.0086635,           0.0086635,           0.0086635
                 137,             0.02172,            0.015281,                   0,              0.5128,             0.49749,             0.45132,             0.19909,             0.04925,            0.029064,                   0,           0.0086536,           0.0086536,           0.0086536
                 138,            0.021363,            0.015525,                   0,              0.5651,             0.47739,             0.46682,             0.20458,            0.049039,            0.027464,                   0,           0.0086437,           0.0086437,           0.0086437
                 139,            0.021563,            0.015181,                   0,             0.57874,             0.44185,             0.46477,             0.20972,            0.049182,            0.030152,                   0,           0.0086338,           0.0086338,           0.0086338
                 140,            0.021744,            0.015611,                   0,             0.50494,             0.50754,             0.44764,             0.21992,            0.050437,            0.029893,                   0,           0.0086239,           0.0086239,           0.0086239
                 141,            0.021019,            0.015232,                   0,             0.53906,             0.51759,             0.50358,             0.22978,            0.050007,            0.028485,                   0,            0.008614,            0.008614,            0.008614
                 142,            0.021048,            0.015103,                   0,             0.47835,             0.55779,             0.47091,             0.20354,             0.04952,            0.027712,                   0,           0.0086041,           0.0086041,           0.0086041
                 143,            0.021878,            0.015874,                   0,             0.46476,             0.53235,             0.43789,             0.19576,            0.051175,            0.028605,                   0,           0.0085942,           0.0085942,           0.0085942
                 144,            0.021122,            0.014875,                   0,              0.4254,             0.58794,             0.44109,              0.1984,            0.050155,            0.028846,                   0,           0.0085843,           0.0085843,           0.0085843
                 145,             0.02069,            0.014446,                   0,             0.51199,             0.51256,             0.47685,             0.19528,            0.051247,               0.029,                   0,           0.0085744,           0.0085744,           0.0085744
                 146,            0.020764,            0.014553,                   0,             0.56614,             0.47236,             0.44855,             0.20431,            0.049629,            0.028825,                   0,           0.0085645,           0.0085645,           0.0085645
                 147,            0.020958,            0.014779,                   0,             0.55835,              0.5273,             0.48275,             0.22647,            0.050743,            0.029326,                   0,           0.0085546,           0.0085546,           0.0085546
                 148,            0.021733,            0.014815,                   0,             0.62054,             0.50251,             0.49408,             0.22833,            0.051407,            0.028711,                   0,           0.0085447,           0.0085447,           0.0085447
                 149,            0.021204,            0.015094,                   0,             0.51799,             0.48744,             0.44769,             0.18942,            0.049945,            0.029146,                   0,           0.0085348,           0.0085348,           0.0085348
                 150,            0.020543,            0.014621,                   0,             0.50441,             0.53266,             0.46777,             0.21468,                0.05,             0.02947,                   0,           0.0085249,           0.0085249,           0.0085249
                 151,            0.020765,            0.015063,                   0,              0.5148,             0.51759,             0.44767,             0.20365,            0.050568,            0.028744,                   0,            0.008515,            0.008515,            0.008515
                 152,            0.020377,            0.014831,                   0,             0.55303,             0.52261,             0.50311,             0.23469,            0.049797,            0.028816,                   0,           0.0085051,           0.0085051,           0.0085051
                 153,            0.020776,            0.014656,                   0,             0.52089,             0.49749,             0.48901,             0.22654,            0.050087,            0.030918,                   0,           0.0084952,           0.0084952,           0.0084952
                 154,            0.021366,            0.015338,                   0,             0.46471,             0.53769,              0.4436,             0.19677,            0.050173,            0.030142,                   0,           0.0084853,           0.0084853,           0.0084853
                 155,            0.020862,            0.014507,                   0,              0.5436,             0.43216,             0.43458,             0.20994,            0.051121,            0.030089,                   0,           0.0084754,           0.0084754,           0.0084754
                 156,            0.020596,            0.015361,                   0,             0.46612,             0.53769,             0.48281,             0.23908,            0.050988,            0.029679,                   0,           0.0084655,           0.0084655,           0.0084655
                 157,            0.020879,            0.014489,                   0,             0.46899,             0.53258,             0.47605,              0.2273,             0.05005,            0.029606,                   0,           0.0084556,           0.0084556,           0.0084556
                 158,            0.020215,            0.014062,                   0,             0.48689,             0.56742,             0.48464,             0.22976,            0.050364,            0.030581,                   0,           0.0084457,           0.0084457,           0.0084457
                 159,             0.02058,            0.014333,                   0,             0.57603,             0.51256,             0.48668,             0.23155,            0.051417,             0.03071,                   0,           0.0084358,           0.0084358,           0.0084358
                 160,             0.02017,            0.014069,                   0,             0.53356,             0.51256,             0.47938,             0.23073,            0.051562,            0.029629,                   0,           0.0084259,           0.0084259,           0.0084259
                 161,            0.020933,            0.014798,                   0,             0.49187,             0.50754,              0.4792,             0.22477,            0.051148,            0.030042,                   0,            0.008416,            0.008416,            0.008416
                 162,            0.020651,             0.01412,                   0,             0.51875,             0.48208,             0.46174,             0.21547,            0.051151,            0.029593,                   0,           0.0084061,           0.0084061,           0.0084061
                 163,            0.019864,            0.014771,                   0,             0.53926,             0.44724,             0.41898,              0.1974,            0.051638,            0.031835,                   0,           0.0083962,           0.0083962,           0.0083962
                 164,            0.020285,            0.014992,                   0,             0.54487,             0.45722,             0.47119,             0.22572,            0.051889,            0.030728,                   0,           0.0083863,           0.0083863,           0.0083863
                 165,            0.019707,            0.013967,                   0,              0.4374,             0.54774,             0.47135,             0.21048,            0.053476,            0.030898,                   0,           0.0083764,           0.0083764,           0.0083764
                 166,            0.020058,            0.014532,                   0,             0.51999,             0.50251,             0.47165,             0.23207,            0.051618,            0.030039,                   0,           0.0083665,           0.0083665,           0.0083665
                 167,            0.019668,            0.014362,                   0,             0.59053,             0.47739,              0.4887,             0.22923,            0.051156,            0.030136,                   0,           0.0083566,           0.0083566,           0.0083566
